"","binID","start","high","medium","low"
"67425","chr2_3052400","3052300","36","29","3"
"2","chr2_3052500","  3052400"," 39"," 32","  7"
"1","gap 1","0","100","100","100"
"4","chr2_3089900","  3089800","200"," 45","  7"
"5","chr2_3090000","  3089900"," 72"," 19","  5"
"11","gap 2","0","100","100","100"
"7","chr2_3148800","  3148700","157"," 52"," 27"
"8","chr2_3148900","  3148800","120"," 23"," 17"
"12","gap 3","0","100","100","100"
"10","chr2_3149500","  3149400","125"," 31"," 11"
"111","chr2_3149600","  3149500","107"," 29","  2"
"13","gap 4","0","100","100","100"
"131","chr2_3154900","  3154800"," 85"," 56"," 22"
"14","chr2_3155000","  3154900"," 94"," 38"," 12"
"15","gap 5","0","100","100","100"
"16","chr2_3317000","  3316900","204"," 29","  3"
"17","chr2_3317100","  3317000","204"," 21","  1"
"18","gap 6","0","100","100","100"
"19","chr2_3329200","  3329100","162"," 42","  4"
"20","chr2_3329300","  3329200"," 68"," 29","  0"
"110","gap 7","0","100","100","100"
"22","chr2_3375600","  3375500"," 64"," 17","  0"
"23","chr2_3375700","  3375600"," 97"," 15","  0"
"24","chr2_3375800","  3375700","171"," 21","  0"
"112","gap 8","0","100","100","100"
"26","chr2_3438000","  3437900"," 53"," 74"," 23"
"27","chr2_3438100","  3438000"," 28"," 53"," 25"
"113","gap 9","0","100","100","100"
"29","chr2_3477900","  3477800","155"," 22","  0"
"30","chr2_3478000","  3477900","141"," 11","  0"
"114","gap 10","0","100","100","100"
"32","chr2_3551000","  3550900"," 47","  0","  0"
"33","chr2_3551100","  3551000"," 35","  0","  0"
"115","gap 11","0","100","100","100"
"35","chr2_3640300","  3640200","110"," 37","  3"
"36","chr2_3640400","  3640300","101"," 43","  3"
"116","gap 12","0","100","100","100"
"38","chr2_3648300","  3648200","189"," 17"," 12"
"39","chr2_3648400","  3648300","205"," 25"," 13"
"117","gap 13","0","100","100","100"
"41","chr2_3663200","  3663100","128"," 14","  1"
"42","chr2_3663300","  3663200","101"," 22","  0"
"118","gap 14","0","100","100","100"
"44","chr2_3736900","  3736800","150"," 51","  9"
"45","chr2_3737000","  3736900"," 64"," 20","  5"
"119","gap 15","0","100","100","100"
"47","chr2_3745700","  3745600","182"," 48","  7"
"48","chr2_3745800","  3745700","136"," 22","  2"
"120","gap 16","0","100","100","100"
"50","chr2_3793100","  3793000","196"," 40","  3"
"51","chr2_3793200","  3793100","175"," 33","  0"
"121","gap 17","0","100","100","100"
"53","chr2_3918400","  3918300","190"," 63"," 32"
"54","chr2_3918500","  3918400","176"," 46"," 17"
"122","gap 18","0","100","100","100"
"56","chr2_3923600","  3923500"," 39"," 18","  2"
"57","chr2_3923700","  3923600"," 17","  3","  0"
"123","gap 19","0","100","100","100"
"59","chr2_3932900","  3932800"," 17","  8","  0"
"60","chr2_3933000","  3932900"," 23","  7","  0"
"124","gap 20","0","100","100","100"
"62","chr2_3984600","  3984500"," 47","  3","  0"
"63","chr2_3984700","  3984600"," 54"," 10","  0"
"125","gap 21","0","100","100","100"
"65","chr2_4082000","  4081900"," 69","  6","  0"
"66","chr2_4082100","  4082000"," 43","  0","  0"
"67","chr2_4082200","  4082100","223"," 22","  0"
"126","gap 22","0","100","100","100"
"69","chr2_4082800","  4082700","190"," 28","  4"
"70","chr2_4082900","  4082800","169"," 36","  8"
"127","gap 23","0","100","100","100"
"72","chr2_4102500","  4102400","128"," 20","  0"
"73","chr2_4102600","  4102500","181"," 18","  1"
"128","gap 24","0","100","100","100"
"75","chr2_4144400","  4144300"," 42","  0","  0"
"76","chr2_4144500","  4144400","104"," 11","  0"
"129","gap 25","0","100","100","100"
"78","chr2_4168100","  4168000"," 90"," 42","  8"
"79","chr2_4168200","  4168100","164"," 48"," 11"
"130","gap 26","0","100","100","100"
"81","chr2_4200700","  4200600"," 19","  5","  0"
"82","chr2_4200800","  4200700","132"," 23","  4"
"132","gap 27","0","100","100","100"
"84","chr2_4206200","  4206100","239"," 23","  3"
"85","chr2_4206300","  4206200","278"," 26"," 13"
"133","gap 28","0","100","100","100"
"87","chr2_4223600","  4223500","156"," 30","  0"
"88","chr2_4223700","  4223600","197"," 31","  3"
"134","gap 29","0","100","100","100"
"90","chr2_4234800","  4234700","205"," 17","  3"
"91","chr2_4234900","  4234800","115"," 18","  1"
"135","gap 30","0","100","100","100"
"93","chr2_4268500","  4268400"," 61"," 17"," 68"
"94","chr2_4268600","  4268500"," 33"," 19"," 35"
"136","gap 31","0","100","100","100"
"96","chr2_4270200","  4270100"," 92"," 39"," 13"
"97","chr2_4270300","  4270200","130"," 37"," 21"
"137","gap 32","0","100","100","100"
"99","chr2_4299800","  4299700"," 29","  8"," 11"
"100","chr2_4299900","  4299800"," 78"," 11"," 15"
"138","gap 33","0","100","100","100"
"102","chr2_4301100","  4301000"," 20"," 33","172"
"103","chr2_4301200","  4301100","  8"," 33","119"
"139","gap 34","0","100","100","100"
"105","chr2_4308000","  4307900"," 56"," 13","  0"
"106","chr2_4308100","  4308000","116"," 43","  5"
"140","gap 35","0","100","100","100"
"108","chr2_4392000","  4391900"," 84","116"," 47"
"109","chr2_4392100","  4392000"," 32"," 40"," 20"
"141","gap 36","0","100","100","100"
"1111","chr2_4404500","  4404400","154"," 37","  9"
"1121","chr2_4404600","  4404500","121"," 35"," 12"
"142","gap 37","0","100","100","100"
"1141","chr2_4411300","  4411200"," 53"," 17","  0"
"1151","chr2_4411400","  4411300","162"," 25","  0"
"143","gap 38","0","100","100","100"
"1171","chr2_4414400","  4414300","215"," 38","  3"
"1181","chr2_4414500","  4414400","206"," 53","  5"
"144","gap 39","0","100","100","100"
"1201","chr2_4477600","  4477500","132"," 54"," 24"
"1211","chr2_4477700","  4477600"," 55"," 37"," 16"
"145","gap 40","0","100","100","100"
"1231","chr2_4490000","  4489900"," 79"," 39","  4"
"1241","chr2_4490100","  4490000","121"," 65"," 10"
"146","gap 41","0","100","100","100"
"1261","chr2_4508000","  4507900","206"," 37","  2"
"1271","chr2_4508100","  4508000","145"," 39","  6"
"147","gap 42","0","100","100","100"
