"","binID","start","high","medium","low"
"46734","chr7_3510600","3510500","151","42","20"
"2","chr7_3510700","  3510600","174"," 33"," 12"
"1","gap 1","0","100","100","100"
"4","chr7_3638700","  3638600","136","  0","  0"
"5","chr7_3638800","  3638700","131","  2","  0"
"11","gap 2","0","100","100","100"
"7","chr7_3639600","  3639500","235"," 31"," 10"
"8","chr7_3639700","  3639600","201"," 22","  3"
"12","gap 3","0","100","100","100"
"10","chr7_3656900","  3656800"," 92"," 46","  6"
"111","chr7_3657000","  3656900"," 60"," 19","  0"
"13","gap 4","0","100","100","100"
"131","chr7_3658700","  3658600"," 46","  0","  0"
"14","chr7_3658800","  3658700"," 62","  0","  0"
"15","gap 5","0","100","100","100"
"16","chr7_3665700","  3665600","  0","  2","259"
"17","chr7_3665800","  3665700","  0","  0","104"
"18","gap 6","0","100","100","100"
"19","chr7_3677300","  3677200","123"," 33","  7"
"20","chr7_3677400","  3677300","141"," 66"," 13"
"110","gap 7","0","100","100","100"
"22","chr7_3694100","  3694000","  0","  0","122"
"23","chr7_3694200","  3694100","  0","  0"," 97"
"112","gap 8","0","100","100","100"
"25","chr7_3705900","  3705800","  2"," 22"," 70"
"26","chr7_3706000","  3705900"," 14"," 44","136"
"113","gap 9","0","100","100","100"
"28","chr7_3927900","  3927800"," 31"," 13","  1"
"29","chr7_3928000","  3927900","  9","  6","  0"
"114","gap 10","0","100","100","100"
"31","chr7_4003800","  4003700"," 86","  6","  0"
"32","chr7_4003900","  4003800","194"," 30","  1"
"115","gap 11","0","100","100","100"
"34","chr7_4058000","  4057900"," 12","  0","  0"
"35","chr7_4058100","  4058000"," 23","  0","  0"
"36","chr7_4058200","  4058100"," 24","  5","  0"
"116","gap 12","0","100","100","100"
"38","chr7_4058400","  4058300"," 10","  0","  0"
"39","chr7_4058500","  4058400"," 20","  0","  0"
"117","gap 13","0","100","100","100"
"41","chr7_4061600","  4061500"," 15"," 19","  5"
"42","chr7_4061700","  4061600"," 40"," 30"," 21"
"43","chr7_4061800","  4061700"," 51"," 37"," 32"
"44","chr7_4061900","  4061800"," 49"," 31"," 15"
"118","gap 14","0","100","100","100"
"46","chr7_4122600","  4122500"," 54"," 80"," 72"
"47","chr7_4122700","  4122600"," 12"," 19"," 24"
"119","gap 15","0","100","100","100"
"49","chr7_4136000","  4135900"," 86"," 49"," 30"
"50","chr7_4136100","  4136000"," 89"," 60"," 35"
"120","gap 16","0","100","100","100"
"52","chr7_4142200","  4142100","111"," 29","  0"
"53","chr7_4142300","  4142200","155"," 48","  6"
"121","gap 17","0","100","100","100"
"55","chr7_4200400","  4200300","198"," 23","  0"
"56","chr7_4200500","  4200400","204"," 21","  0"
"122","gap 18","0","100","100","100"
"58","chr7_4275300","  4275200"," 72"," 35","  3"
"59","chr7_4275400","  4275300"," 72"," 19","  3"
"123","gap 19","0","100","100","100"
"61","chr7_4277000","  4276900"," 72"," 29","  0"
