"","binID","start","high","medium","low"
"65721","chr1_3038000","3037900","60","0","0"
"2","chr1_3038100","  3038000","128","  6","  0"
"1","gap 1","0","100","100","100"
"4","chr1_3053500","  3053400","146"," 14","  4"
"5","chr1_3053600","  3053500","167"," 18","  0"
"11","gap 2","0","100","100","100"
"7","chr1_3147600","  3147500","169"," 54","  2"
"8","chr1_3147700","  3147600","281"," 73","  7"
"12","gap 3","0","100","100","100"
"10","chr1_3151600","  3151500"," 66","  4","  0"
"111","chr1_3151700","  3151600","141"," 17","  3"
"13","gap 4","0","100","100","100"
"131","chr1_3154600","  3154500"," 15","  6","  5"
"14","chr1_3154700","  3154600"," 51"," 16","  6"
"15","gap 5","0","100","100","100"
"16","chr1_3274500","  3274400"," 47","  0","  0"
"17","chr1_3274600","  3274500"," 63","  3","  0"
"18","chr1_3274700","  3274600"," 41","  8","  0"
"19","gap 6","0","100","100","100"
"20","chr1_3275300","  3275200"," 24","  0","  0"
"21","chr1_3275400","  3275300","215"," 13","  8"
"110","gap 7","0","100","100","100"
"23","chr1_3275900","  3275800","173","  4","  0"
"24","chr1_3276000","  3275900"," 38","  0","  0"
"25","chr1_3276100","  3276000"," 34","  0","  0"
"112","gap 8","0","100","100","100"
"27","chr1_3276700","  3276600"," 39","  3","  0"
"28","chr1_3276800","  3276700"," 72","  3","  0"
"29","chr1_3276900","  3276800"," 65"," 13","  0"
"30","chr1_3277000","  3276900"," 68"," 10","  0"
"113","gap 9","0","100","100","100"
"32","chr1_3311400","  3311300","316"," 47","  9"
"33","chr1_3311500","  3311400","285"," 65"," 15"
"114","gap 10","0","100","100","100"
"35","chr1_3423200","  3423100","199","  0","  0"
"36","chr1_3423300","  3423200","174","  1","  0"
"115","gap 11","0","100","100","100"
"38","chr1_3446400","  3446300"," 60"," 12","  4"
"39","chr1_3446500","  3446400","152"," 28"," 10"
"116","gap 12","0","100","100","100"
"41","chr1_3532300","  3532200","211"," 47","  7"
"42","chr1_3532400","  3532300","177"," 28","  5"
"117","gap 13","0","100","100","100"
"44","chr1_3567100","  3567000"," 89"," 70"," 53"
"45","chr1_3567200","  3567100"," 30"," 45"," 24"
"118","gap 14","0","100","100","100"
"47","chr1_3846200","  3846100","158"," 55","  5"
"48","chr1_3846300","  3846200"," 99"," 30","  4"
"119","gap 15","0","100","100","100"
"50","chr1_3852800","  3852700","291","  3","  0"
"51","chr1_3852900","  3852800","146","  2","  0"
"120","gap 16","0","100","100","100"
"53","chr1_3987800","  3987700"," 37","  0","  0"
"54","chr1_3987900","  3987800"," 32","  3","  0"
"121","gap 17","0","100","100","100"
"56","chr1_4092700","  4092600"," 39"," 42","  6"
"57","chr1_4092800","  4092700"," 86","114"," 27"
"122","gap 18","0","100","100","100"
"59","chr1_4352500","  4352400","241","  4","  0"
"60","chr1_4352600","  4352500","250","  1","  4"
"123","gap 19","0","100","100","100"
"62","chr1_4451300","  4451200","179"," 51"," 12"
"63","chr1_4451400","  4451300","159"," 65"," 21"
"124","gap 20","0","100","100","100"
"65","chr1_4496500","  4496400","  0","  4","228"
"66","chr1_4496600","  4496500","  0","  2","200"
"125","gap 21","0","100","100","100"
"68","chr1_4496800","  4496700","  0","  0","132"
"69","chr1_4496900","  4496800","  0","  6","263"
"126","gap 22","0","100","100","100"
"71","chr1_4523400","  4523300","145","  6","  0"
"72","chr1_4523500","  4523400"," 91","  0","  0"
"127","gap 23","0","100","100","100"
"74","chr1_4525000","  4524900"," 81"," 10","  0"
"75","chr1_4525100","  4525000","164"," 34","  3"
"128","gap 24","0","100","100","100"
"77","chr1_4529700","  4529600"," 66"," 18","  0"
"78","chr1_4529800","  4529700"," 35","  3","  0"
"129","gap 25","0","100","100","100"
"80","chr1_4591300","  4591200"," 74","  0","  0"
"81","chr1_4591400","  4591300","195","  9","  0"
