"","binID","start","high","medium","low"
"48062","chr3_3018300","3018200","30","5","0"
"2","chr3_3018400","  3018300"," 10","  0","  0"
"3","chr3_3018500","  3018400"," 40","  6","  0"
"1","gap 1","0","100","100","100"
"5","chr3_3020700","  3020600","129","  4","  1"
"6","chr3_3020800","  3020700"," 65","  0","  0"
"11","gap 2","0","100","100","100"
"8","chr3_3070500","  3070400","124"," 22","  0"
"9","chr3_3070600","  3070500","247"," 41","  9"
"12","gap 3","0","100","100","100"
"111","chr3_3090000","  3089900","102"," 36","  9"
"121","chr3_3090100","  3090000"," 61"," 26","  3"
"13","gap 4","0","100","100","100"
"14","chr3_3104600","  3104500","164"," 20","  7"
"15","chr3_3104700","  3104600","143"," 18","  4"
"16","gap 5","0","100","100","100"
"17","chr3_3109400","  3109300"," 58"," 35","  4"
"18","chr3_3109500","  3109400"," 48"," 39","  1"
"19","gap 6","0","100","100","100"
"20","chr3_3167700","  3167600","137"," 53"," 15"
"21","chr3_3167800","  3167700","123"," 27","  9"
"110","gap 7","0","100","100","100"
"23","chr3_3177200","  3177100"," 75"," 27","  5"
"24","chr3_3177300","  3177200"," 30","  8","  0"
"25","chr3_3177400","  3177300"," 46","  7","  1"
"112","gap 8","0","100","100","100"
"27","chr3_3194500","  3194400"," 34"," 48"," 18"
"28","chr3_3194600","  3194500"," 31"," 55","  9"
"113","gap 9","0","100","100","100"
"30","chr3_3201300","  3201200","139"," 59","  4"
"31","chr3_3201400","  3201300","177"," 69","  5"
"114","gap 10","0","100","100","100"
"33","chr3_3246900","  3246800"," 61","  5","  0"
"34","chr3_3247000","  3246900"," 85","  9","  2"
"115","gap 11","0","100","100","100"
"36","chr3_3255400","  3255300","  5","  0","  2"
"37","chr3_3255500","  3255400"," 18","  4","  1"
"38","chr3_3255600","  3255500"," 22"," 14","  4"
"116","gap 12","0","100","100","100"
"40","chr3_3257800","  3257700"," 12","  0","  0"
"41","chr3_3257900","  3257800"," 14","  0","  0"
"117","gap 13","0","100","100","100"
"43","chr3_3258300","  3258200"," 12","  2","  0"
"44","chr3_3258400","  3258300","  4","  5","  0"
"118","gap 14","0","100","100","100"
"46","chr3_3259200","  3259100"," 59"," 11","  0"
"47","chr3_3259300","  3259200"," 23","  0","  0"
"48","chr3_3259400","  3259300","  9","  2","  0"
"49","chr3_3259500","  3259400"," 47"," 13","  0"
"50","chr3_3259600","  3259500"," 24","  5","  0"
"119","gap 15","0","100","100","100"
"52","chr3_3259800","  3259700"," 27","  1","  0"
"53","chr3_3259900","  3259800"," 47","  3","  3"
"120","gap 16","0","100","100","100"
"55","chr3_3261100","  3261000"," 89"," 12","  7"
"56","chr3_3261200","  3261100"," 64"," 12","  3"
"122","gap 17","0","100","100","100"
"58","chr3_3263100","  3263000"," 14","  0","  0"
"59","chr3_3263200","  3263100","  6","  3","  0"
"60","chr3_3263300","  3263200"," 11","  0","  0"
"61","chr3_3263400","  3263300"," 36","  3","  0"
"123","gap 18","0","100","100","100"
"63","chr3_3296900","  3296800","185"," 60"," 22"
"64","chr3_3297000","  3296900","191"," 59"," 11"
"124","gap 19","0","100","100","100"
"66","chr3_3306400","  3306300","120"," 21","  4"
"67","chr3_3306500","  3306400","166"," 31"," 10"
"125","gap 20","0","100","100","100"
"69","chr3_3327500","  3327400"," 18","  0","  0"
"70","chr3_3327600","  3327500"," 58","  4","  4"
"126","gap 21","0","100","100","100"
"72","chr3_3328500","  3328400"," 30"," 34"," 20"
"73","chr3_3328600","  3328500"," 11"," 13","  3"
"127","gap 22","0","100","100","100"
"75","chr3_3331500","  3331400"," 20","  6","  0"
"76","chr3_3331600","  3331500"," 11","  2","  0"
"128","gap 23","0","100","100","100"
"78","chr3_3336200","  3336100","177"," 59"," 14"
"79","chr3_3336300","  3336200"," 71"," 26","  0"
"129","gap 24","0","100","100","100"
"81","chr3_3339100","  3339000","118"," 14","  1"
"82","chr3_3339200","  3339100"," 89","  2","  1"
"130","gap 25","0","100","100","100"
"84","chr3_3343300","  3343200","118"," 14"," 12"
"85","chr3_3343400","  3343300","191"," 22","  9"
"131","gap 26","0","100","100","100"
"87","chr3_3345400","  3345300","138"," 25","  9"
"88","chr3_3345500","  3345400"," 99"," 30","  9"
