"","binID","start","high","medium","low"
"48616","chr3_3090000","3089900","131","56","16"
"2","chr3_3090100","  3090000"," 97"," 70"," 13"
"1","gap 1","0","100","100","100"
"4","chr3_3104600","  3104500","237"," 32"," 10"
"5","chr3_3104700","  3104600","196"," 24"," 15"
"11","gap 2","0","100","100","100"
"7","chr3_3177200","  3177100","124"," 36"," 10"
"8","chr3_3177300","  3177200"," 49","  9","  0"
"9","chr3_3177400","  3177300"," 58"," 20","  3"
"12","gap 3","0","100","100","100"
"111","chr3_3194500","  3194400"," 63"," 64"," 32"
"121","chr3_3194600","  3194500"," 75"," 63"," 19"
"13","gap 4","0","100","100","100"
"14","chr3_3201300","  3201200","143"," 74","  9"
"15","chr3_3201400","  3201300","170"," 84","  9"
"16","gap 5","0","100","100","100"
"17","chr3_3255500","  3255400"," 33"," 13","  4"
"18","chr3_3255600","  3255500"," 49"," 34","  4"
"19","gap 6","0","100","100","100"
"20","chr3_3257800","  3257700"," 22","  0","  0"
"21","chr3_3257900","  3257800"," 18","  0","  0"
"110","gap 7","0","100","100","100"
"23","chr3_3258300","  3258200"," 22","  2","  0"
"24","chr3_3258400","  3258300"," 23","  5","  0"
"112","gap 8","0","100","100","100"
"26","chr3_3259200","  3259100","106"," 25","  0"
"27","chr3_3259300","  3259200"," 20","  0","  0"
"28","chr3_3259400","  3259300"," 21","  3","  0"
"29","chr3_3259500","  3259400"," 64"," 23","  5"
"113","gap 9","0","100","100","100"
"31","chr3_3259800","  3259700"," 42","  4","  0"
"32","chr3_3259900","  3259800"," 67","  2","  3"
"114","gap 10","0","100","100","100"
"34","chr3_3261100","  3261000","150"," 22","  6"
"35","chr3_3261200","  3261100"," 99"," 26","  4"
"115","gap 11","0","100","100","100"
"37","chr3_3263300","  3263200"," 12","  0","  0"
"38","chr3_3263400","  3263300"," 22","  4","  0"
"116","gap 12","0","100","100","100"
"40","chr3_3296900","  3296800","290"," 93"," 16"
"41","chr3_3297000","  3296900","293"," 82"," 23"
"117","gap 13","0","100","100","100"
"43","chr3_3327500","  3327400"," 34","  5","  0"
"44","chr3_3327600","  3327500"," 84"," 13","  2"
"118","gap 14","0","100","100","100"
"46","chr3_3328500","  3328400"," 60"," 47"," 47"
"47","chr3_3328600","  3328500"," 15"," 20","  9"
"119","gap 15","0","100","100","100"
"49","chr3_3339100","  3339000","150"," 21","  5"
"50","chr3_3339200","  3339100","136","  9","  3"
"120","gap 16","0","100","100","100"
"52","chr3_3343300","  3343200","149"," 22","  7"
"53","chr3_3343400","  3343300","309"," 31"," 11"
"122","gap 17","0","100","100","100"
"55","chr3_3400000","  3399900","200"," 58","  5"
"56","chr3_3400100","  3400000","179"," 76"," 10"
"123","gap 18","0","100","100","100"
"58","chr3_3426200","  3426100"," 85","  0","  0"
"59","chr3_3426300","  3426200"," 82","  0","  0"
"124","gap 19","0","100","100","100"
"61","chr3_3429900","  3429800"," 29","  9","  7"
"62","chr3_3430000","  3429900","  8","  3","  0"
"125","gap 20","0","100","100","100"
"64","chr3_3464900","  3464800"," 62"," 14","  0"
"65","chr3_3465000","  3464900"," 73"," 15","  0"
"126","gap 21","0","100","100","100"
"67","chr3_3473100","  3473000","135"," 33","  6"
"68","chr3_3473200","  3473100"," 24"," 10","  0"
