"","binID","start","high","medium","low"
"65721","chr1_3038000","3037900","27","0","0"
"2","chr1_3038100","  3038000","105","  5","  0"
"1","gap 1","0","100","100","100"
"4","chr1_3053500","  3053400"," 95"," 15","  2"
"5","chr1_3053600","  3053500"," 98"," 21","  0"
"11","gap 2","0","100","100","100"
"7","chr1_3059400","  3059300"," 84"," 21","  5"
"8","chr1_3059500","  3059400"," 69"," 11","  0"
"12","gap 3","0","100","100","100"
"10","chr1_3147600","  3147500","158"," 34","  4"
"111","chr1_3147700","  3147600","190"," 41","  5"
"13","gap 4","0","100","100","100"
"131","chr1_3240700","  3240600"," 35","  4","  0"
"14","chr1_3240800","  3240700","160"," 10","  5"
"15","gap 5","0","100","100","100"
"16","chr1_3274500","  3274400"," 39","  0","  0"
"17","chr1_3274600","  3274500"," 43","  1","  0"
"18","gap 6","0","100","100","100"
"19","chr1_3275300","  3275200"," 16","  0","  0"
"20","chr1_3275400","  3275300","145"," 11","  4"
"110","gap 7","0","100","100","100"
"22","chr1_3275900","  3275800"," 89","  5","  0"
"23","chr1_3276000","  3275900"," 19","  0","  0"
"24","chr1_3276100","  3276000"," 32","  0","  0"
"112","gap 8","0","100","100","100"
"26","chr1_3276700","  3276600"," 25","  1","  0"
"27","chr1_3276800","  3276700"," 29","  4","  0"
"28","chr1_3276900","  3276800"," 41"," 12","  0"
"29","chr1_3277000","  3276900"," 30","  7","  0"
"113","gap 9","0","100","100","100"
"31","chr1_3423200","  3423100","140","  0","  0"
"32","chr1_3423300","  3423200","144","  4","  0"
"114","gap 10","0","100","100","100"
"34","chr1_3446400","  3446300"," 56","  9","  0"
"35","chr1_3446500","  3446400","107"," 19","  2"
"115","gap 11","0","100","100","100"
"37","chr1_3567100","  3567000"," 73"," 50"," 31"
"38","chr1_3567200","  3567100"," 22"," 20"," 18"
"116","gap 12","0","100","100","100"
"40","chr1_3573200","  3573100"," 75"," 18","  2"
"41","chr1_3573300","  3573200"," 49","  8","  0"
"117","gap 13","0","100","100","100"
"43","chr1_3846200","  3846100"," 91"," 23","  5"
"44","chr1_3846300","  3846200"," 69"," 14","  1"
"118","gap 14","0","100","100","100"
"46","chr1_3852800","  3852700","205","  4","  0"
"47","chr1_3852900","  3852800","101","  3","  0"
"119","gap 15","0","100","100","100"
"49","chr1_3979200","  3979100","148"," 28"," 10"
"50","chr1_3979300","  3979200","105"," 37","  8"
"120","gap 16","0","100","100","100"
"52","chr1_3986300","  3986200"," 90","  0","  0"
"53","chr1_3986400","  3986300"," 49","  3","  0"
"121","gap 17","0","100","100","100"
"55","chr1_3987800","  3987700"," 19","  0","  0"
"56","chr1_3987900","  3987800"," 19","  1","  0"
"122","gap 18","0","100","100","100"
"58","chr1_4092700","  4092600"," 22"," 19","  6"
"59","chr1_4092800","  4092700"," 49"," 86"," 23"
"123","gap 19","0","100","100","100"
