"","binID","start","high","medium","low"
"15232","chr17_3044400","3044300","21","3","0"
"2","chr17_3044500"," 3044400"," 36","  4","  0"
"3","chr17_3044600"," 3044500"," 63","  4","  0"
"1","gap 1","0","100","100","100"
"5","chr17_3056800"," 3056700"," 93"," 43","  5"
"6","chr17_3056900"," 3056800"," 71"," 28","  8"
"7","chr17_3057000"," 3056900"," 22","  9","  0"
"8","chr17_3057100"," 3057000"," 62"," 29"," 13"
"11","gap 2","0","100","100","100"
"10","chr17_3157700"," 3157600","103","  0","  2"
"111","chr17_3157800"," 3157700"," 81","  0","  0"
"12","gap 3","0","100","100","100"
"13","chr17_3192200"," 3192100","204"," 21","  0"
"14","chr17_3192300"," 3192200","105"," 18","  0"
"15","gap 4","0","100","100","100"
"16","chr17_3227700"," 3227600"," 76"," 30","  4"
"17","chr17_3227800"," 3227700","131"," 31","  3"
"18","gap 5","0","100","100","100"
"19","chr17_3234700"," 3234600","136"," 54","  4"
"20","chr17_3234800"," 3234700","102"," 21","  4"
"110","gap 6","0","100","100","100"
"22","chr17_3250900"," 3250800"," 81"," 17","  0"
"23","chr17_3251000"," 3250900"," 99"," 32","  5"
"112","gap 7","0","100","100","100"
"25","chr17_3262800"," 3262700","226"," 42","  5"
"26","chr17_3262900"," 3262800","173"," 36"," 11"
"113","gap 8","0","100","100","100"
"28","chr17_3300000"," 3299900","176"," 39","  2"
"29","chr17_3300100"," 3300000"," 46","  7","  1"
"114","gap 9","0","100","100","100"
"31","chr17_3336700"," 3336600"," 77"," 48"," 23"
"32","chr17_3336800"," 3336700"," 61"," 37","  9"
"115","gap 10","0","100","100","100"
"34","chr17_3399000"," 3398900","114"," 44","  2"
"35","chr17_3399100"," 3399000"," 96"," 35","  3"
"116","gap 11","0","100","100","100"
"37","chr17_3418400"," 3418300"," 38"," 14","  3"
"38","chr17_3418500"," 3418400","107"," 19","  2"
"117","gap 12","0","100","100","100"
"40","chr17_3455100"," 3455000","100"," 23","  2"
"41","chr17_3455200"," 3455100","124"," 23","  3"
"118","gap 13","0","100","100","100"
"43","chr17_3465100"," 3465000","176"," 51","  3"
"44","chr17_3465200"," 3465100","182"," 36","  7"
"119","gap 14","0","100","100","100"
"46","chr17_3612600"," 3612500","196"," 26","  3"
"47","chr17_3612700"," 3612600","127"," 18","  3"
"120","gap 15","0","100","100","100"
"49","chr17_3659500"," 3659400","219"," 51","  8"
"50","chr17_3659600"," 3659500","146"," 22","  3"
"121","gap 16","0","100","100","100"
"52","chr17_3685600"," 3685500","128"," 14","  5"
"53","chr17_3685700"," 3685600"," 93"," 19","  7"
"122","gap 17","0","100","100","100"
"55","chr17_3697700"," 3697600","102"," 13","  1"
