"","binID","start","high","medium","low"
"26357","chr14_3006400","3006300","38","11","0"
"2","chr14_3006500","  3006400"," 73"," 14","  0"
"1","gap 1","0","100","100","100"
"4","chr14_3051100","  3051000"," 39"," 15","  2"
"5","chr14_3051200","  3051100"," 47"," 22","  2"
"11","gap 2","0","100","100","100"
"7","chr14_3100300","  3100200","125"," 11","  4"
"8","chr14_3100400","  3100300"," 43","  0","  0"
"12","gap 3","0","100","100","100"
"10","chr14_3115700","  3115600"," 48","  3","  0"
"111","chr14_3115800","  3115700"," 38","  6","  0"
"13","gap 4","0","100","100","100"
"131","chr14_3116100","  3116000"," 44","  0","  0"
"14","chr14_3116200","  3116100"," 47","  0","  0"
"15","gap 5","0","100","100","100"
"16","chr14_3117000","  3116900"," 35","  4","  0"
"17","chr14_3117100","  3117000"," 30","  0","  0"
"18","gap 6","0","100","100","100"
"19","chr14_3177200","  3177100"," 19","  0","  0"
"20","chr14_3177300","  3177200","269","  3","  4"
"110","gap 7","0","100","100","100"
"22","chr14_3209300","  3209200","  0","  0"," 70"
"23","chr14_3209400","  3209300","  0","  4"," 74"
"112","gap 8","0","100","100","100"
"25","chr14_3210000","  3209900"," 21","  0","  0"
"26","chr14_3210100","  3210000"," 27","  0","  3"
"113","gap 9","0","100","100","100"
"28","chr14_3277500","  3277400"," 62"," 17","  8"
"29","chr14_3277600","  3277500"," 38","  7","  0"
"114","gap 10","0","100","100","100"
"31","chr14_3293600","  3293500"," 22","  0","  0"
"32","chr14_3293700","  3293600"," 23","  0","  0"
"115","gap 11","0","100","100","100"
"34","chr14_3325600","  3325500"," 34","  3","  0"
"35","chr14_3325700","  3325600","104","  9","  0"
"116","gap 12","0","100","100","100"
"37","chr14_3333300","  3333200","  0","  0"," 67"
"38","chr14_3333400","  3333300","  0","  0"," 88"
"117","gap 13","0","100","100","100"
"40","chr14_3815300","  3815200"," 78"," 41","  3"
"41","chr14_3815400","  3815300"," 77"," 38","  4"
"118","gap 14","0","100","100","100"
"43","chr14_3912200","  3912100"," 91","  0","  0"
"44","chr14_3912300","  3912200"," 65","  4","  0"
"119","gap 15","0","100","100","100"
"46","chr14_3929400","  3929300"," 51"," 16","  4"
"47","chr14_3929500","  3929400"," 56"," 13","  3"
"120","gap 16","0","100","100","100"
"49","chr14_4057500","  4057400"," 13","  7","  0"
"50","chr14_4057600","  4057500","  6","  9","  0"
