"","binID","start","high","medium","low"
"12712","chr16_3083200","3083100","98","31","0"
"2","chr16_3083300"," 3083200"," 92"," 35","  1"
"1","gap 1","0","100","100","100"
"4","chr16_3102700"," 3102600"," 68","  4","  0"
"5","chr16_3102800"," 3102700"," 62","  0","  0"
"11","gap 2","0","100","100","100"
"7","chr16_3103000"," 3102900"," 36","  0","  0"
"8","chr16_3103100"," 3103000"," 24","  4","  0"
"12","gap 3","0","100","100","100"
"10","chr16_3104100"," 3104000"," 10","  0","  0"
"111","chr16_3104200"," 3104100"," 50"," 11","  0"
"121","chr16_3104300"," 3104200","  7","  6","  0"
"13","gap 4","0","100","100","100"
"14","chr16_3104700"," 3104600"," 31","  4","  0"
"15","chr16_3104800"," 3104700"," 28"," 13","  0"
"16","gap 5","0","100","100","100"
"17","chr16_3111900"," 3111800","124"," 38"," 19"
"18","chr16_3112000"," 3111900"," 42"," 27","  9"
"19","gap 6","0","100","100","100"
"20","chr16_3112800"," 3112700","  9","  0","  0"
"21","chr16_3112900"," 3112800"," 35"," 11","  0"
"110","gap 7","0","100","100","100"
"23","chr16_3130000"," 3129900"," 83"," 26","  7"
"24","chr16_3130100"," 3130000"," 20","  8","  0"
"112","gap 8","0","100","100","100"
"26","chr16_3130800"," 3130700"," 81"," 24","  9"
"27","chr16_3130900"," 3130800","113"," 30","  6"
"28","chr16_3131000"," 3130900"," 43","  5","  0"
"113","gap 9","0","100","100","100"
"30","chr16_3131700"," 3131600"," 25","  0","  0"
"31","chr16_3131800"," 3131700","123"," 17","  0"
"114","gap 10","0","100","100","100"
"33","chr16_3138200"," 3138100"," 89"," 27","  5"
"34","chr16_3138300"," 3138200"," 22","  9","  0"
"35","chr16_3138400"," 3138300"," 12","  2","  0"
"36","chr16_3138500"," 3138400"," 11","  2","  0"
"115","gap 11","0","100","100","100"
"38","chr16_3328100"," 3328000"," 32","  9","  0"
"39","chr16_3328200"," 3328100"," 81","  7","  0"
"116","gap 12","0","100","100","100"
"41","chr16_3329100"," 3329000"," 29","  1","  0"
"42","chr16_3329200"," 3329100"," 42"," 11","  2"
"117","gap 13","0","100","100","100"
"44","chr16_3331900"," 3331800","143","  6","  0"
"45","chr16_3332000"," 3331900"," 68","  3","  0"
"118","gap 14","0","100","100","100"
"47","chr16_3333100"," 3333000"," 20","  5","  0"
"48","chr16_3333200"," 3333100"," 71"," 27","  2"
"119","gap 15","0","100","100","100"
"50","chr16_3356900"," 3356800"," 20","  3","  0"
"51","chr16_3357000"," 3356900"," 34","  6","  0"
"120","gap 16","0","100","100","100"
"53","chr16_3361500"," 3361400"," 17","  0","  0"
"54","chr16_3361600"," 3361500","100"," 10","  0"
"55","chr16_3361700"," 3361600"," 10","  0","  0"
"122","gap 17","0","100","100","100"
"57","chr16_3367900"," 3367800"," 48"," 19","  0"
"58","chr16_3368000"," 3367900"," 90"," 21","  0"
"123","gap 18","0","100","100","100"
"60","chr16_3383400"," 3383300","141"," 29","  8"
"61","chr16_3383500"," 3383400","100"," 31","  9"
"62","chr16_3383600"," 3383500"," 14"," 10","  0"
"63","chr16_3383700"," 3383600","195"," 71"," 15"
"124","gap 19","0","100","100","100"
"65","chr16_3385000"," 3384900","  8","  0","  0"
"66","chr16_3385100"," 3385000"," 49","  3","  0"
"67","chr16_3385200"," 3385100"," 21","  0","  0"
"125","gap 20","0","100","100","100"
"69","chr16_3396200"," 3396100"," 47","  9","  0"
"70","chr16_3396300"," 3396200"," 17","  0","  0"
"126","gap 21","0","100","100","100"
"72","chr16_3396700"," 3396600"," 56"," 18","  3"
"73","chr16_3396800"," 3396700"," 52"," 26","  3"
"74","chr16_3396900"," 3396800"," 42"," 15","  0"
"75","chr16_3397000"," 3396900"," 18","  5","  0"
"127","gap 22","0","100","100","100"
"77","chr16_3398700"," 3398600"," 28"," 23","  0"
"78","chr16_3398800"," 3398700"," 14","  9","  0"
"128","gap 23","0","100","100","100"
"80","chr16_3403700"," 3403600"," 51"," 14","  6"
"81","chr16_3403800"," 3403700"," 18","  4","  0"
"82","chr16_3403900"," 3403800"," 48"," 19","  4"
"83","chr16_3404000"," 3403900"," 27"," 15","  7"
"129","gap 24","0","100","100","100"
"85","chr16_3429600"," 3429500"," 70","  8","  1"
"86","chr16_3429700"," 3429600"," 47","  0","  0"
"130","gap 25","0","100","100","100"
"88","chr16_3430300"," 3430200"," 20","  4","  0"
"89","chr16_3430400"," 3430300"," 20"," 11","  2"
"131","gap 26","0","100","100","100"
"91","chr16_3431100"," 3431000"," 15","  0","  0"
"92","chr16_3431200"," 3431100"," 89"," 16","  0"
"132","gap 27","0","100","100","100"
"94","chr16_3435500"," 3435400"," 13","  0","  0"
"95","chr16_3435600"," 3435500"," 14","  1","  0"
"133","gap 28","0","100","100","100"
"97","chr16_3466600"," 3466500","122"," 32"," 12"
"98","chr16_3466700"," 3466600","138"," 44","  9"
"134","gap 29","0","100","100","100"
"100","chr16_3470400"," 3470300"," 14","  9","  7"
"101","chr16_3470500"," 3470400"," 12","  5","  0"
