"","binID","start","high","medium","low"
"14202","chr19_3149800","3149700","240","20","11"
"2","chr19_3149900"," 3149800"," 36","  0","  0"
"3","chr19_3150000"," 3149900"," 65","  5","  0"
"1","gap 1","0","100","100","100"
"5","chr19_3223900"," 3223800","  0","  0","  7"
"6","chr19_3224000"," 3223900","  0","  4"," 12"
"11","gap 2","0","100","100","100"
"8","chr19_3228400"," 3228300"," 14"," 13"," 38"
"9","chr19_3228500"," 3228400","  6","  6"," 12"
"12","gap 3","0","100","100","100"
"111","chr19_3247200"," 3247100"," 56","  3","  0"
"121","chr19_3247300"," 3247200"," 30","  0","  0"
"13","gap 4","0","100","100","100"
"14","chr19_3247800"," 3247700"," 40","  7","  0"
"15","chr19_3247900"," 3247800"," 93"," 23"," 10"
"16","gap 5","0","100","100","100"
"17","chr19_3269900"," 3269800","168"," 37","  0"
"18","chr19_3270000"," 3269900","253"," 79","  4"
"19","gap 6","0","100","100","100"
"20","chr19_3274400"," 3274300","172"," 20","  0"
"21","chr19_3274500"," 3274400","130"," 11","  0"
"110","gap 7","0","100","100","100"
"23","chr19_3284100"," 3284000","270"," 81"," 19"
"24","chr19_3284200"," 3284100","249"," 68"," 16"
"112","gap 8","0","100","100","100"
"26","chr19_3325200"," 3325100","  0","  0","104"
"27","chr19_3325300"," 3325200","  0","  0","133"
"113","gap 9","0","100","100","100"
"29","chr19_3412400"," 3412300","  0"," 16","  0"
"30","chr19_3412500"," 3412400","  0"," 13","  4"
"114","gap 10","0","100","100","100"
"32","chr19_3444200"," 3444100","192"," 87"," 33"
"33","chr19_3444300"," 3444200","206","107"," 24"
"115","gap 11","0","100","100","100"
"35","chr19_3460500"," 3460400","275"," 42","  8"
"36","chr19_3460600"," 3460500","193"," 50","  5"
"116","gap 12","0","100","100","100"
"38","chr19_3471000"," 3470900","162"," 20","  0"
"39","chr19_3471100"," 3471000","142"," 15","  0"
"117","gap 13","0","100","100","100"
"41","chr19_3487100"," 3487000"," 91","  0","  0"
"42","chr19_3487200"," 3487100","231","  5","  0"
"118","gap 14","0","100","100","100"
"44","chr19_3522900"," 3522800","277"," 59"," 17"
"45","chr19_3523000"," 3522900","206"," 50","  9"
"119","gap 15","0","100","100","100"
"47","chr19_3527200"," 3527100"," 28","  2","  0"
"48","chr19_3527300"," 3527200","199","  8","  0"
"120","gap 16","0","100","100","100"
"50","chr19_3533300"," 3533200","291","  4","  0"
"51","chr19_3533400"," 3533300"," 98","  0","  0"
"122","gap 17","0","100","100","100"
"53","chr19_3580800"," 3580700","203"," 43","  4"
"54","chr19_3580900"," 3580800","316"," 74"," 14"
"123","gap 18","0","100","100","100"
"56","chr19_3610200"," 3610100"," 74","  0","  0"
"57","chr19_3610300"," 3610200","229","  7","  0"
"124","gap 19","0","100","100","100"
"59","chr19_3612000"," 3611900","309","106"," 19"
"60","chr19_3612100"," 3612000","260"," 84"," 19"
"125","gap 20","0","100","100","100"
"62","chr19_3631000"," 3630900","297"," 21","  7"
"63","chr19_3631100"," 3631000","372"," 43"," 15"
"126","gap 21","0","100","100","100"
"65","chr19_3649100"," 3649000"," 99"," 76"," 20"
"66","chr19_3649200"," 3649100"," 28"," 34","  5"
"127","gap 22","0","100","100","100"
"68","chr19_3652200"," 3652100","148","  0","  0"
"69","chr19_3652300"," 3652200","160","  0","  0"
"128","gap 23","0","100","100","100"
"71","chr19_3658900"," 3658800","242"," 23","  4"
"72","chr19_3659000"," 3658900","197"," 22","  0"
"129","gap 24","0","100","100","100"
"74","chr19_3668000"," 3667900","138","  1","  3"
"75","chr19_3668100"," 3668000","116","  3","  0"
"130","gap 25","0","100","100","100"
"77","chr19_3670600"," 3670500","240"," 40","  7"
"78","chr19_3670700"," 3670600","180"," 37","  4"
"131","gap 26","0","100","100","100"
"80","chr19_3679100"," 3679000","229"," 44","  0"
"81","chr19_3679200"," 3679100","148"," 22","  0"
"132","gap 27","0","100","100","100"
"83","chr19_3727600"," 3727500","244"," 29","  6"
"84","chr19_3727700"," 3727600"," 79","  4","  0"
"133","gap 28","0","100","100","100"
"86","chr19_3737300"," 3737200","170"," 72","  3"
"87","chr19_3737400"," 3737300","131"," 41","  4"
"134","gap 29","0","100","100","100"
"89","chr19_3806800"," 3806700","105"," 38","  6"
"90","chr19_3806900"," 3806800","222"," 51"," 20"
"135","gap 30","0","100","100","100"
"92","chr19_3809100"," 3809000","185"," 44","  8"
"93","chr19_3809200"," 3809100","294"," 73","  9"
"136","gap 31","0","100","100","100"
"95","chr19_3988700"," 3988600","262"," 39","  0"
"96","chr19_3988800"," 3988700","376"," 57","  3"
"137","gap 32","0","100","100","100"
"98","chr19_3993800"," 3993700","134"," 61"," 14"
"99","chr19_3993900"," 3993800","147"," 65"," 14"
"138","gap 33","0","100","100","100"
"101","chr19_4004000"," 4003900","119"," 87"," 27"
"102","chr19_4004100"," 4004000","134"," 84"," 24"
"139","gap 34","0","100","100","100"
"104","chr19_4268900"," 4268800","  0","  3","240"
"105","chr19_4269000"," 4268900","  0","  5","128"
"106","chr19_4269100"," 4269000","  0","  0","133"
